Curcumin Nano Particle,,9 micro L,,10 micro L,,20 micro L,,30 micro L,,40 micro L,,50 micro L,,60 micro L,,70 micro L,,80 micro L,,90 micro L,,,,,
271,,321,,321,,321,,271,,321,,321,,321,,321,,321,,321,,,,,
D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,
430.084,44833.4,430.084,18873.7,430.084,29071.4,430.084,24446.9,430.084,17419.9,430.084,16068,430.084,18601,430.084,19409.1,430.084,15493.2,430.084,7404.49,430.084,8408.67,,,,
431.071,39384.7,431.071,17823.6,431.071,26200,431.071,21683.5,431.071,15836,431.071,13931.1,431.071,16340.3,431.071,17702.5,431.071,13548.4,431.071,6591.48,431.071,7213.75,,,,
432.057,36110.7,432.057,15382.3,432.057,23940.5,432.057,19217.1,432.057,15523.5,432.057,12853.6,432.057,14646.5,432.057,16895.1,432.057,13377.2,432.057,6109.87,432.057,6180.1,,,,
433.043,33218.6,433.043,14807.8,433.043,22968.5,433.043,17541,433.043,13347,433.043,12239.5,433.043,13075.1,433.043,14636.4,433.043,12038.2,433.043,5818.95,433.043,6380.76,,,,
434.03,30259.8,434.03,12833.4,434.03,19671.8,434.03,15846.1,434.03,12440.8,434.03,11102.5,434.03,12843.5,434.03,13860.6,434.03,10790.7,434.03,5648.44,434.03,5869.11,,,,
435.016,27325.8,435.016,12088.5,435.016,18076,435.016,15241.2,435.016,11756.5,435.016,10489,435.016,11203.1,435.016,12380.4,435.016,10267.8,435.016,4605.61,435.016,4856.24,,,,
436.003,26331.8,436.003,11877.2,436.003,17187.8,436.003,14434.9,436.003,11494.9,436.003,9755.12,436.003,10479,436.003,12138.9,436.003,8830.59,436.003,4625.66,436.003,4605.61,,,,
436.989,24467.1,436.989,10539.3,436.989,16138.6,436.989,13165.7,436.989,9182.26,436.989,8569.39,436.989,9111.92,436.989,10629.8,436.989,8991.35,436.989,4445.23,436.989,4485.32,,,,
437.975,23596.2,437.975,10096.9,437.975,15563.8,437.975,12380.4,437.975,10107,437.975,7796.06,437.975,8910.97,437.975,10951.6,437.975,8448.85,437.975,4194.65,437.975,4164.59,,,,
438.962,20955.4,438.962,9473.69,438.962,14414.8,438.962,11384.2,438.962,9503.85,438.962,6942.74,438.962,7876.39,438.962,9513.9,438.962,8328.32,438.962,3733.69,438.962,4014.26,,,,
439.948,19267.6,439.948,9081.78,439.948,14203.2,439.948,11515,439.948,8880.83,439.948,7836.22,439.948,7956.72,439.948,9413.39,439.948,7896.47,439.948,3493.23,439.948,3803.83,,,,
440.935,19146.4,440.935,8559.35,440.935,13679.3,440.935,11213.2,440.935,8348.41,440.935,7484.8,440.935,7324.17,440.935,8931.06,440.935,7765.93,440.935,3443.14,440.935,3673.57,,,,
441.921,18732.3,441.921,8760.27,441.921,12561.6,441.921,10338.2,441.921,8167.62,441.921,6882.52,441.921,7083.26,441.921,8790.41,441.921,7364.33,441.921,3282.85,441.921,3853.93,,,,
442.907,17894.3,442.907,8037.06,442.907,12712.6,442.907,10036.6,442.907,7735.81,442.907,6962.81,442.907,6782.16,442.907,8629.67,442.907,7334.21,442.907,3403.06,442.907,3683.59,,,,
443.894,16925.4,443.894,8268.06,443.894,11434.5,443.894,8448.85,443.894,8107.36,443.894,6952.77,443.894,6501.17,443.894,8237.92,443.894,7454.68,443.894,3312.9,443.894,3383.03,,,,
444.88,16027.6,444.88,8117.41,444.88,11595.5,444.88,9463.64,444.88,7494.84,444.88,6561.38,444.88,6230.26,444.88,8157.58,444.88,7033.07,444.88,3583.4,444.88,3713.65,,,,
446.113,15553.7,446.113,7705.69,446.113,10358.3,446.113,8760.27,446.113,7183.64,446.113,6220.23,446.113,6260.36,446.113,7705.69,446.113,6330.59,446.113,3403.06,446.113,3773.77,,,,
447.1,14868.2,447.1,7063.18,447.1,10107,447.1,8278.1,447.1,6962.81,447.1,6872.48,447.1,6581.45,447.1,8037.06,447.1,7173.6,447.1,3853.93,447.1,3753.73,,,,
448.086,14374.4,448.086,7304.1,448.086,9825.48,448.086,7886.43,448.086,7213.75,448.086,5528.08,448.086,6461.03,448.086,7243.87,448.086,6400.83,448.086,3603.44,448.086,3723.67,,,,
449.072,14092.3,449.072,7535,449.072,9383.25,449.072,8067.19,449.072,7002.96,449.072,6170.06,449.072,5628.38,449.072,7002.96,449.072,7013,449.072,3863.95,449.072,3843.91,,,,
450.059,13770,450.059,6912.63,450.059,9503.85,450.059,7786.02,450.059,7243.87,450.059,5929.29,450.059,5407.73,450.059,7514.92,450.059,6782.16,450.059,3393.05,450.059,3403.06,,,,
451.045,14314,451.045,6471.07,451.045,9222.46,451.045,8227.88,451.045,7043.11,451.045,6170.06,451.045,5588.26,451.045,7314.14,451.045,6782.16,451.045,3603.44,451.045,3483.21,,,,
452.032,13357,452.032,7113.37,452.032,8820.55,452.032,7675.56,452.032,6320.56,452.032,6280.43,452.032,5427.79,452.032,6742.01,452.032,6009.55,452.032,3362.99,452.032,3633.49,,,,
453.018,12883.8,453.018,6471.07,453.018,9051.63,453.018,7856.31,453.018,6782.16,453.018,5417.76,453.018,5909.23,453.018,6752.05,453.018,6300.49,453.018,3393.05,453.018,3793.81,,,,
