Wavelength (nm),S3Abs,Wavelength (nm),S4Abs,Wavelength (nm),S5Abs,Wavelength (nm),S6Abs,Wavelength (nm),S7Abs,Wavelength (nm),S8Abs,Wavelength (nm),S9Abs,Wavelength (nm),S10Abs,Wavelength (nm),S11Abs,Wavelength (nm),S12Abs,Wavelength (nm),S13Abs,Wavelength (nm),S14Abs,Wavelength (nm),S15Abs,Wavelength (nm),S16Abs,Wavelength (nm),S17Abs,
549.9279175,0.05898518115,549.9279175,0.07415950298,549.9279175,0.07783669233,549.9279175,0.08208209276,549.9279175,0.0937659815,549.9279175,0.09671858698,549.9279175,0.102393575,549.9279175,0.1074759886,549.9279175,0.1176348701,549.9279175,0.1220361143,549.9279175,0.1293538511,549.9279175,0.1363528967,549.9279175,0.1391798705,549.9279175,0.1420650482,549.9279175,0.1524326354,
549.0276489,0.06184236705,549.0276489,0.07746277004,549.0276489,0.08136188984,549.0276489,0.08538297564,549.0276489,0.09678547829,549.0276489,0.09995096922,549.0276489,0.1058123708,549.0276489,0.1111690924,549.0276489,0.1215764955,549.0276489,0.1258876771,549.0276489,0.1329989582,549.0276489,0.1399202049,549.0276489,0.1427206248,549.0276489,0.1463249326,549.0276489,0.1563926339,
547.9770508,0.06525536627,547.9770508,0.08100581914,547.9770508,0.08512123674,547.9770508,0.08944164217,547.9770508,0.1001657248,547.9770508,0.1037460715,547.9770508,0.1100778282,547.9770508,0.1152463779,547.9770508,0.1261257678,547.9770508,0.1301012784,547.9770508,0.1374659836,547.9770508,0.1442663372,547.9770508,0.1471807808,547.9770508,0.1509996057,547.9770508,0.1611626148,
546.9262695,0.06908745319,546.9262695,0.08518060297,546.9262695,0.08870126307,546.9262695,0.09374654293,546.9262695,0.1043630317,546.9262695,0.1079864651,546.9262695,0.1137924418,546.9262695,0.1195335612,546.9262695,0.1308272928,546.9262695,0.1340868324,546.9262695,0.1421274841,546.9262695,0.1473356038,546.9262695,0.1514109969,546.9262695,0.1557730585,546.9262695,0.1661708206,
546.0253296,0.07362747937,546.0253296,0.08943750709,546.0253296,0.09371779859,546.0253296,0.09858686477,546.0253296,0.1088600308,546.0253296,0.1124858782,546.0253296,0.1189956516,546.0253296,0.1239013597,546.0253296,0.1357097477,546.0253296,0.1387305856,546.0253296,0.1466371417,546.0253296,0.1510323733,546.0253296,0.1561868191,546.0253296,0.1607265472,546.0253296,0.1706228256,
544.973999,0.07789351791,544.973999,0.09373340756,544.973999,0.09824099392,544.973999,0.1028379127,544.973999,0.1141707897,544.973999,0.117477186,544.973999,0.1234683171,544.973999,0.1287346333,544.973999,0.1406796873,544.973999,0.1433329433,544.973999,0.1514548063,544.973999,0.1568923444,544.973999,0.1610854864,544.973999,0.1662377268,544.973999,0.1757761091,
544.0726929,0.08133538067,544.0726929,0.09803643823,544.0726929,0.1025570557,544.0726929,0.1071785614,544.0726929,0.1182676479,544.0726929,0.1215452626,544.0726929,0.1280433536,544.0726929,0.1333858371,544.0726929,0.145598948,544.0726929,0.1479371339,544.0726929,0.1555082351,544.0726929,0.1613111347,544.0726929,0.1662259549,544.0726929,0.1713564545,544.0726929,0.1800903082,
543.0209351,0.08556025475,543.0209351,0.102436699,543.0209351,0.1068704128,543.0209351,0.1114522964,543.0209351,0.1225632876,543.0209351,0.1258868575,543.0209351,0.1327095032,543.0209351,0.137622565,543.0209351,0.1500175595,543.0209351,0.1522785276,543.0209351,0.1604999304,543.0209351,0.1648197323,543.0209351,0.1706704944,543.0209351,0.1760842949,543.0209351,0.1845822334,
541.9688721,0.090369232,541.9688721,0.1071963832,541.9688721,0.1118682623,541.9688721,0.1155734286,541.9688721,0.1266711354,541.9688721,0.1303483844,541.9688721,0.1371104568,541.9688721,0.1419602931,541.9688721,0.1545631737,541.9688721,0.1563831717,541.9688721,0.1650879532,541.9688721,0.1686493903,541.9688721,0.1751161069,541.9688721,0.1797895283,541.9688721,0.1893085241,
541.0668945,0.09375043213,541.0668945,0.110816136,541.0668945,0.11566329,541.0668945,0.118789278,541.0668945,0.1300794184,541.0668945,0.1338292062,541.0668945,0.1406581402,541.0668945,0.1454554945,541.0668945,0.1578472555,541.0668945,0.1592739969,541.0668945,0.168541342,541.0668945,0.1713696271,541.0668945,0.1778914332,541.0668945,0.1804141551,541.0668945,0.1922782362,
540.0144043,0.09945446253,540.0144043,0.1166829765,540.0144043,0.1205298901,540.0144043,0.1244936213,540.0144043,0.1354517192,540.0144043,0.1392326653,540.0144043,0.1462192088,540.0144043,0.151167348,540.0144043,0.1635995656,540.0144043,0.1640403271,540.0144043,0.1736471802,540.0144043,0.1764354408,540.0144043,0.1836315244,540.0144043,0.1850560606,540.0144043,0.1968821138,
538.9616089,0.1052704975,538.9616089,0.1225737929,538.9616089,0.126195848,538.9616089,0.1302609295,538.9616089,0.1402554363,538.9616089,0.1444025338,538.9616089,0.1517818123,538.9616089,0.1563010216,538.9616089,0.1690513492,538.9616089,0.1689062715,538.9616089,0.1781722158,538.9616089,0.1807754189,538.9616089,0.1872204095,538.9616089,0.1903322339,538.9616089,0.201610297,
538.059082,0.1102300137,538.059082,0.1273559928,538.059082,0.1312516332,538.059082,0.1348300725,538.059082,0.1438983083,538.059082,0.1489787549,538.059082,0.1562585533,538.059082,0.1604542434,538.059082,0.1738701016,538.059082,0.1730090231,538.059082,0.1820371747,538.059082,0.185228765,538.059082,0.1911982298,538.059082,0.1937888563,538.059082,0.2054278851,
537.0057983,0.1152967736,537.0057983,0.1320920438,537.0057983,0.1356991082,537.0057983,0.1389867216,537.0057983,0.1477125883,537.0057983,0.153186202,537.0057983,0.1607328057,537.0057983,0.1647696793,537.0057983,0.1772642583,537.0057983,0.1770730913,537.0057983,0.1854275167,537.0057983,0.188588202,537.0057983,0.1947066784,537.0057983,0.1978090852,537.0057983,0.2088442892,
535.9523315,0.120534502,535.9523315,0.137120828,535.9523315,0.1402647346,535.9523315,0.1434673071,535.9523315,0.1518610567,535.9523315,0.1576113105,535.9523315,0.1651395559,535.9523315,0.1686796546,535.9523315,0.1811113805,535.9523315,0.1804998964,535.9523315,0.1886612624,535.9523315,0.1922222972,535.9523315,0.1988355815,535.9523315,0.2022824883,535.9523315,0.2125774175,
535.0491333,0.126957655,535.0491333,0.1426838487,535.0491333,0.1448844373,535.0491333,0.1488510519,535.0491333,0.1562372893,535.0491333,0.1626754552,535.0491333,0.170110628,535.0491333,0.1730573326,535.0491333,0.1858881563,535.0491333,0.1852508932,535.0491333,0.1926356703,535.0491333,0.1957977265,535.0491333,0.2023082674,535.0491333,0.2070892751,535.0491333,0.2158267945,
533.9951782,0.1332006305,533.9951782,0.1483387202,533.9951782,0.1514720172,533.9951782,0.1545934826,533.9951782,0.1626722962,533.9951782,0.1679149866,533.9951782,0.1748616844,533.9951782,0.1777780652,533.9951782,0.1896140128,533.9951782,0.1892102361,533.9951782,0.196574524,533.9951782,0.1998158544,533.9951782,0.2063430697,533.9951782,0.2127114087,533.9951782,0.2196342349,
532.940918,0.1405199617,532.940918,0.1545822024,532.940918,0.1572231352,532.940918,0.1601999849,532.940918,0.1680122316,532.940918,0.1734875888,532.940918,0.1806252748,532.940918,0.1829210967,532.940918,0.1947456747,532.940918,0.1939280033,532.940918,0.2014018595,532.940918,0.2040335983,532.940918,0.2107719183,532.940918,0.2167811692,532.940918,0.2238263935,
532.0371094,0.1463351846,532.0371094,0.1600501239,532.0371094,0.16231516,532.0371094,0.1651016921,532.0371094,0.1725228131,532.0371094,0.1787301451,532.0371094,0.1849086732,532.0371094,0.1873580664,532.0371094,0.1989725083,532.0371094,0.1981323808,532.0371094,0.2046547234,532.0371094,0.2078483254,532.0371094,0.2144559026,532.0371094,0.2196189165,532.0371094,0.2269416451,
530.9824219,0.1522200406,530.9824219,0.1656898409,530.9824219,0.1672895253,530.9824219,0.1701179445,530.9824219,0.1765941381,530.9824219,0.1830266267,530.9824219,0.1891410798,530.9824219,0.1919943541,530.9824219,0.2027945369,530.9824219,0.2021201551,530.9824219,0.2081858665,530.9824219,0.2104451805,530.9824219,0.2175227106,530.9824219,0.2230487317,530.9824219,0.2297310084,
529.9274902,0.1587012112,529.9274902,0.1722345799,529.9274902,0.1734772772,529.9274902,0.1757044047,529.9274902,0.1822625548,529.9274902,0.1880439818,529.9274902,0.1939109713,529.9274902,0.1969788671,529.9274902,0.2068513036,529.9274902,0.2030896544,529.9274902,0.2125726938,529.9274902,0.2141243815,529.9274902,0.2211626917,529.9274902,0.2263657749,529.9274902,0.2326013297,
529.0230713,0.1634729207,529.0230713,0.1759046316,529.0230713,0.177483052,529.0230713,0.1793128103,529.0230713,0.1853924841,529.0230713,0.1907988787,529.0230713,0.1968240738,529.0230713,0.2000845075,529.0230713,0.2093568295,529.0230713,0.2068168372,529.0230713,0.2146025598,529.0230713,0.2160637379,529.0230713,0.2228556126,529.0230713,0.2279190272,529.0230713,0.2347486168,
527.9677124,0.1710052341,527.9677124,0.1830235124,527.9677124,0.1838461012,527.9677124,0.1851581037,527.9677124,0.1908701807,527.9677124,0.1964789182,527.9677124,0.2021265477,527.9677124,0.2049085498,527.9677124,0.2135410458,527.9677124,0.2132045925,527.9677124,0.2184140384,527.9677124,0.2198243439,527.9677124,0.2268744707,527.9677124,0.2317429334,527.9677124,0.2377163023,
527.0628662,0.1771991998,527.0628662,0.1886489987,527.0628662,0.1894662678,527.0628662,0.1906634569,527.0628662,0.1960694343,527.0628662,0.2015398145,527.0628662,0.2064497024,527.0628662,0.2082499564,527.0628662,0.2177633941,527.0628662,0.2182219326,527.0628662,0.2218203843,527.0628662,0.2232180983,527.0628662,0.2299108207,527.0628662,0.2345128655,527.0628662,0.2402982265,
526.007019,0.1842367053,526.007019,0.195588246,526.007019,0.1955299675,526.007019,0.1954505146,526.007019,0.2015872896,526.007019,0.2068029642,526.007019,0.2111537457,526.007019,0.2133509517,526.007019,0.2217077613,526.007019,0.2216003388,526.007019,0.2258532792,526.007019,0.226767987,526.007019,0.2333125174,526.007019,0.2367442399,526.007019,0.2433821708,
524.9508667,0.1902892292,524.9508667,0.2016374767,524.9508667,0.2008075267,524.9508667,0.2011538297,524.9508667,0.2073271126,524.9508667,0.2116909027,524.9508667,0.215514183,524.9508667,0.2176498175,524.9508667,0.2259785235,524.9508667,0.2248360366,524.9508667,0.2294706553,524.9508667,0.2299902886,524.9508667,0.2364139706,524.9508667,0.2394451648,524.9508667,0.2456396669,
524.0454712,0.1959190667,524.0454712,0.206595093,524.0454712,0.2053854316,524.0454712,0.2051422149,524.0454712,0.2109381557,524.0454712,0.2152955532,524.0454712,0.2191633582,524.0454712,0.2208845168,524.0454712,0.2286446691,524.0454712,0.2277806997,524.0454712,0.2322276235,524.0454712,0.2323836237,524.0454712,0.2382769585,524.0454712,0.2422633618,524.0454712,0.2475263178,
